Sigla;Nome
KNIP11;FII KINEA IP
KNRE11;FII KII REAL
KNRI11;FII KINEA
KROT3;KROTON ON
LAME3;LOJAS AMERIC ON
LAME4;LOJAS AMERIC PN
LCAM3;LOCAMERICA ON
LEVE3;METAL LEVE ON
LIGT3;LIGHT S/A ON
LILY34;LILLY DRN
LINX3;LINX ON
LIPR3;ELETROPAR ON
LIQO3;LIQ
LLIS3;LE LIS BLANC ON
LMTB34;LOCKHEED DRN
LOFT11B;FII LOFT I
LOGG3;LOG COM PROP ON
LOGN3;LOG-IN ON
LPSB3;LOPES BRASIL ON
LREN3;LOJAS RENNER ON
LUPA3;LUPATECH ON
LUXM4;TREVISA PN
LVBI11;FII VBI LOG
MACY34;MACY S DRN
MALL11;FII MALLS BP
MAPT4;CEMEPE PN
MATB11;IT NOW IMAT CI
MAXR11;FII MAX RET
MBRF11;FII MERC BR
MCDC34;MCDONALDS DRN
MDIA3;M.DIASBRANCO ON
MDLZ34;MONDELEZ INT DRN
MDTC34;MEDTRONIC DRN
MEAL3;IMC S/A ON
MEND5;MENDES JR PNA
MEND6;MENDES JR PNB
METB34;METLIFE INC DRN
MFII11;FII MERITO I
MGEL4;MANGELS INDL PN
MGFF11;FII MOGNO
MGLU3;MAGAZ LUIZA ON
MILS3;MILLS ON
MMMC34;3M DRN
MMXM3;MMX MINER ON
MNDL3;MUNDIAL ON
MNPR3;MINUPAR ON
MOAR3;MONT ARANHA ON
MOSC34;MOSAIC CO DRN
MOVI3;MOVIDA ON
MRCK34;MERCK DRN
MRFG3;MARFRIG ON
MRVE3;MRV ON
MSBR34;MORGAN STAN DRN
MSCD34;MASTERCARD DRN
MSFT34;MICROSOFT DRN
MSPA3;MELHOR SP ON
MTIG4;METAL IGUACU PN
MTSA3;METISA ON
MTSA4;METISA PN
MULT3;MULTIPLAN ON
MWET4;WETZEL S/A PN
MXRF11;FII MAXI REN
MYPK3;IOCHP-MAXION ON
NAFG3;NADIR FIGUEI ON
NAFG4;NADIR FIGUEI PN
NATU3;NATURA ON
NEOE3;NEOENERGIA
NEOE3B;NEOENERGIA
NFLX34;NETFLIX DRN
NIKE34;NIKE DRN
NORD3;NORDON MET ON
NPAR11;FII NESTPAR
NSLU11;FII LOURDES
NUTR3;NUTRIPLANT ON
NVHO11;FII NOVOHORI
ODPV3;ODONTOPREV ON
OFSA3;OUROFINO S/A ON
OIBR3;OI ON
OIBR4;OI PN
OMGE3;OMEGA GER ON
ONEF11;FII THE ONE
ORCL34;ORACLE DRN
ORPD11;FII OURO PRT
OSXB3;OSX BRASIL ON
OUCY11;FII OURICYRE
OUFF11;FII OURI FOF
OUJP11;FII OURI JPP
OULG11B;FII OURILOG
PABY11;FII PANAMBY
PARD3;IHPARDINI ON
PATC11;FII PATRIA
PATI3;PANATLANTICA ON
PATI4;PANATLANTICA PN
PCAR3;P.ACUCAR-CBD ON
PCAR4;P.ACUCAR-CBD PN
PDGR3;PDG REALT ON
PEAB3;PAR AL BAHIA ON
PEAB4;PAR AL BAHIA PN
PEPB34;PEPSICO INC DRN
PETR3;PETROBRAS ON
PETR4;PETROBRAS PN
PFIZ34;PFIZER DRN
PFRM3;PROFARMA ON
PGCO34;PG DRN
PHMO34;PHILIPMORRIS DRN
PIBB11;IT NOW PIBB CI
PINE4;PINE PN
PLAS3;PLASCAR PART ON
PLRI11;FII POLO I
PMAM3;PARANAPANEMA ON
PNVL3;DIMED ON
PNVL4;DIMED PN
POMO3;MARCOPOLO ON
POMO4;MARCOPOLO PN
PORD11;FII POLO CRI
POSI3;POSITIVO TEC ON
PPLA11;PPLA UNT
PQDP11;FII D PEDRO
PRIO3;PETRORIO ON
PRSV11;FII P VARGAS
PSSA3;PORTO SEGURO ON
PTBL3;PORTOBELLO ON
PTNT3;PETTENATI ON
PTNT4;PETTENATI PN
QCOM34;QUALCOMM DRN
QUAL3;QUALICORP ON
RADL3;RAIADROGASIL ON
RAIL3;RUMO S.A. ON
RANI3;CELUL IRANI ON
RANI4;CELUL IRANI PN
RAPT3;RANDON PART ON
RAPT4;RANDON PART PN
RBBV11;FII JHSF FBV
RBCB11;FII RIOBRCIB
RBDS11;FII RBRESID2
RBED11;FII RIOB ED
RBGS11;FII RB GSB I
RBRD11;FII RB II
RBRF11;FII RBRALPHA
RBRP11;FII RBR PROP
RBRR11;FII RBRHGRAD
RBRY11;FII RBR PCRI
RBVA11;FII RIOB VA
RBVO11;FII RIOBCRI2
RCSL3;RECRUSUL ON
RCSL4;RECRUSUL PN
RDES11;FII RD ESCRI
RDNI3;RODOBENSIMOB ON
RDPD11;FII BB PAPII
RECT11;FII UBSOFFIC
REDE3;REDE ENERGIA ON
REIT11;FII REIT RIV
RENT3;LOCALIZA ON
RIGG34;TRANSOCEAN DRN
RLOG3;COSAN LOG ON
RNDP11;FII BB R PAP
RNEW11;RENOVA UNT
RNEW3;RENOVA ON
RNEW4;RENOVA PN
RNGO11;FII RIONEGRO
ROMI3;INDS ROMI ON
ROST34;ROSS STORES DRN
RPAD3;ALFA HOLDING ON
RPAD5;ALFA HOLDING PNA
RPAD6;ALFA HOLDING PNB
RPMG3;PET MANGUINH ON
RSID3;ROSSI RESID ON
RSUL4;RIOSULENSE PN
SAAG11;FII SANT AGE
SAIC11B;FII SIA CORP
SANB11;SANTANDER BR UNT
SANB3;SANTANDER BR ON
SANB4;SANTANDER BR PN
SAPR11;SANEPAR
SAPR3;SANEPAR ON
SAPR4;SANEPAR PN
SBSP3;SABESP ON
SBUB34;STARBUCKS DRN
SCAR3;SAO CARLOS ON
SCHW34;SCHWAB DRN
SCPF11;FII SCP
SDIL11;FII SDI LOG
SEER3;SER EDUCA ON
SGPS3;SPRINGS ON
SHOW3;TIME FOR FUN ON
SHPH11;FII HIGIENOP
SHUL4;SCHULZ PN
SLBG34;SCHLUMBERGER DRN
SLCE3;SLC AGRICOLA ON
SLED3;SARAIVA LIVR ON
SLED4;SARAIVA LIVR PN
SMAL11;ISHARES SMAL CI
SMLS3;SMILES ON
SMTO3;SAO MARTINHO ON
SNSY5;SANSUY PNA
SOND5;SONDOTECNICA PNA
SOND6;SONDOTECNICA PNB
SPRI3;SPRINGER ON
SPRI5;SPRINGER PNA
SPRI6;SPRINGER PNB
SPTW11;FII SP DOWNT
SPXI11;IT NOW SPXI
SQIA3;SINQIA
SSBR3;SIERRABRASIL ON
SSFO34;SALESFORCE DRN
STBP3;SANTOS BRP ON
SULA11;SUL AMERICA UNT
SULA3;SUL AMERICA ON
SULA4;SUL AMERICA PN
SUZB3;SUZANO PAPEL ON
TAEE11;TAESA UNT
TAEE3;TAESA ON
TAEE4;TAESA PN
TBOF11;FII TBOFFICE
TCSA3;TECNISA ON
TECN3;TECHNOS ON
TEKA3;TEKA ON
TEKA4;TEKA PN
TELB3;TELEBRAS ON
TELB4;TELEBRAS PN
TEND3;TENDA ON
TESA3;TERRA SANTA ON
TEXA34;TEXAS INC DRN
TFOF11;FII TOPFOFII
TGAR11;FII TG ATIVO
TGMA3;TEGMA ON
TGTB34;TARGET CORP DRN
THRA11;FII BM THERA
TIET11;AES TIETE E UNT
TIET3;AES TIETE E ON
